4,45,4,39,10,38,11,35,3,3,46
4,45,4,39,28,20,27,17,3,3,28
4,45,4,39,25,26,26,30,3,3,43
4,45,4,39,28,32,27,27,3,3,82
4,45,4,39,31,8,32,13,3,3,3
4,45,4,39,31,8,32,13,3,3,3
4,45,4,39,19,8,20,10,3,3,57
4,45,4,39,28,26,27,23,3,3,66
4,45,4,39,4,32,5,30,3,3,4
4,45,4,39,28,32,27,27,3,3,82
4,45,4,39,22,38,23,37,3,3,55
4,45,4,39,13,14,12,16,3,3,20
4,45,4,39,7,26,8,31,3,3,22
4,45,4,39,25,20,24,25,3,3,1
4,45,4,39,10,20,11,18,3,3,21
4,45,4,39,22,38,23,37,3,3,55
4,45,4,39,10,20,11,17,3,3,52
4,45,4,39,13,32,14,36,3,3,11
4,45,4,39,7,8,8,11,3,3,17
4,45,4,39,31,20,32,23,3,3,2
4,45,4,39,28,26,27,21,3,3,6
4,45,4,39,10,14,9,13,3,3,26
4,45,4,39,13,26,12,27,3,3,8
4,45,4,39,7,32,8,34,3,3,61
4,45,4,39,7,20,6,23,3,3,60
4,45,4,39,25,14,24,16,3,3,53
4,45,4,39,31,32,30,34,3,3,34
4,45,4,39,7,8,8,11,3,3,17
4,45,4,39,16,26,15,24,3,3,48
4,45,4,39,28,26,29,23,3,3,72
4,45,4,39,7,14,6,18,3,3,35
4,45,4,39,16,26,17,25,3,3,38
4,45,4,39,34,38,33,35,3,3,10
4,45,4,39,22,14,23,9,3,3,75
4,45,4,39,7,32,6,33,3,3,23
4,45,4,39,22,20,23,17,3,3,67
4,45,4,39,16,26,17,25,3,3,38
4,45,4,39,31,32,30,34,3,3,34
4,45,4,39,28,26,27,21,3,3,6
4,45,4,39,19,8,18,12,3,3,79
4,45,4,39,4,14,3,11,3,3,65
4,45,4,39,28,26,29,23,3,3,72
4,45,4,39,22,32,21,30,3,3,44
4,45,4,39,25,32,26,33,3,3,51
4,45,4,39,7,8,6,12,3,3,81
4,45,4,39,25,26,26,30,3,3,43
4,45,4,39,19,26,18,27,3,3,45
4,45,4,39,25,14,26,16,3,3,58
4,45,4,39,28,26,29,23,3,3,72
4,45,4,39,10,38,11,35,3,3,46
4,45,4,39,4,14,3,11,3,3,65
4,45,4,39,19,20,20,23,3,3,30
4,45,4,39,19,26,18,27,3,3,45
4,45,4,39,4,32,5,30,3,3,4
4,45,4,39,7,20,6,22,3,3,74
4,45,4,39,7,20,6,23,3,3,60
4,45,4,39,31,20,32,25,3,3,77
4,45,4,39,7,8,6,12,3,3,81
4,45,4,39,25,14,26,16,3,3,58
4,45,4,39,34,32,33,29,3,3,12
4,45,4,39,10,20,11,18,3,3,21
4,45,4,39,31,20,30,22,3,3,5
4,45,4,39,19,20,20,23,3,3,30
4,45,4,39,13,14,12,16,3,3,20
4,45,4,39,16,38,15,34,3,3,25
4,45,4,39,7,26,6,27,3,3,15
4,45,4,39,25,14,26,16,3,3,58
4,45,4,39,13,20,14,22,3,3,41
4,45,4,39,1,14,2,18,3,3,80
4,45,4,39,25,20,24,25,3,3,1
4,45,4,39,13,26,14,28,3,3,13
4,45,4,39,13,26,14,28,3,3,13
4,45,4,39,16,32,17,29,3,3,69
4,45,4,39,13,26,14,28,3,3,13
4,45,4,39,10,38,11,35,3,3,46
4,45,4,39,28,14,27,10,3,3,78
4,45,4,39,19,8,20,10,3,3,57
4,45,4,39,13,26,14,28,3,3,13
4,45,4,39,34,32,33,29,3,3,12
4,45,4,39,22,14,23,13,3,3,31
4,45,4,39,4,39,5,35,3,3,76
4,45,4,39,31,14,32,15,3,3,18
4,45,4,39,28,32,27,27,3,3,82
16,44,16,39,28,14,29,9,3,1,16
16,44,16,39,1,14,2,17,3,1,62
16,44,16,39,13,26,14,28,3,1,13
16,44,16,39,7,8,6,12,3,1,81
16,44,16,39,22,20,23,17,3,1,67
16,44,16,39,16,39,15,34,3,1,25
16,44,16,39,25,26,26,30,3,1,43
16,44,16,39,22,32,21,30,3,1,44
16,44,16,39,19,26,18,27,3,1,45
16,44,16,39,31,14,32,15,3,1,18
16,44,16,39,4,39,3,37,3,1,39
16,44,16,39,28,14,29,9,3,1,16
16,44,16,39,7,26,6,29,3,1,47
16,44,16,39,25,32,26,33,3,1,51
16,44,16,39,1,14,2,17,3,1,62
16,44,16,39,7,20,6,23,3,1,60
16,44,16,39,13,20,14,22,3,1,41
16,44,16,39,16,26,17,25,3,1,38
16,44,16,39,22,38,23,37,3,1,55
16,44,16,39,28,20,27,17,3,1,28
16,44,16,39,34,32,33,29,3,1,12
16,44,16,39,1,8,2,10,3,1,68
16,44,16,39,10,26,11,23,3,1,19
16,44,16,39,13,20,14,22,3,1,41
16,44,16,39,10,20,11,17,3,1,52
16,44,16,39,16,26,17,25,3,1,38
16,44,16,39,7,8,8,11,3,1,17
16,44,16,39,31,32,30,34,3,1,34
16,44,16,39,13,14,12,16,3,1,20
16,44,16,39,10,14,9,13,3,1,26
16,44,16,39,7,8,8,11,3,1,17
16,44,16,39,16,26,15,24,3,1,48
16,44,16,39,31,20,32,25,3,1,77
16,44,16,39,22,32,21,30,3,1,44
16,44,16,39,19,26,18,27,3,1,45
16,44,16,39,22,14,23,13,3,1,31
16,44,16,39,4,39,5,35,3,1,76
16,44,16,39,31,32,30,35,3,1,73
16,44,16,39,19,8,18,12,3,1,79
16,44,16,39,28,14,27,10,3,1,78
16,44,16,39,25,32,26,33,3,1,51
16,44,16,39,7,20,6,22,3,1,74
16,44,16,39,4,39,3,37,3,1,39
16,44,16,39,19,26,18,31,3,1,56
16,44,16,39,7,14,6,18,3,1,35
16,44,16,39,25,32,26,33,3,1,51
16,44,16,39,19,26,18,27,3,1,45
16,44,16,39,7,32,8,34,3,1,61
16,44,16,39,31,20,32,23,3,1,2
16,44,16,39,7,8,6,12,3,1,81
16,44,16,39,13,20,14,22,3,1,41
16,44,16,39,31,20,32,23,3,1,2
16,44,16,39,4,20,5,17,3,1,29
16,44,16,39,1,8,2,10,3,1,68
16,44,16,39,10,20,11,17,3,1,52
16,44,16,39,22,20,23,17,3,1,67
